"Game Number","Game Step","Initial Deck","Move Type","Card Color/Rank/Position","Cards Involving","Current Player ID","Player 1","Player 2"
"1","60","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","3","B3","1","R0B0G0B4W4","W0Y0B3W3Y4"
"1","61","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","DISCARD","3","G0","0","R0B0G0B4W4","Y0W0Y0W3Y4"
"1","62","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_RANK","4","B4W4","1","G1R0B0B4W4","Y0W0Y0W3Y4"
"1","63","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","4","B4","0","G1R0B0B4W4","Y0W0Y0W3Y4"
"1","64","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_COLOR","W","W2W4","1","W2G1R0B0W4","Y0W0Y0W3Y4"
"1","65","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","1","W2","0","W2G1R0B0W4","Y0W0Y0W3Y4"
"1","66","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","4","W3","1","R2G1R0B0W4","Y0W0Y0W3Y4"
"1","67","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","5","W4","0","R2G1R0B0W4","W2Y0W0Y0Y4"
"1","68","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","REVEAL_COLOR","Y","Y3","1","Y3R2G1R0B0","W2Y0W0Y0Y4"
"1","69","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","1","Y3","0","Y3R2G1R0B0","W2Y0W0Y0Y4"
"1","70","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","PLAY","5","Y4","1","R3R2G1R0B0","W2Y0W0Y0Y4"
"1","71","Y2Y1W0G2G4R4B0W1R1Y4R0G3B1R1W3G3Y3G2B1B0R0W0Y2W3Y0W4G0W1R3B3G0B3B4Y1B2G1R2G0Y0B2W0B0R0Y0G1W2R2W2Y3R3","Bomb","1","R3","0","R3R2G1R0B0","W2Y0W0Y0"
"2","1","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","REVEAL_RANK","0","B0Y0","0","Y1W0G3Y0B4","W3Y2B0G1Y0"
"2","2","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","REVEAL_RANK","0","W0Y0","1","Y1W0G3Y0B4","W3Y2B0G1Y0"
